#Versa Application Tags,PAN,,,,,,
Anonymizer,proxy,,,,,,
Bandwidth,Excessive Bandwidth,consume-big-bandwidth,,,,,
Dataleak,,,,,,,
Evasive,Evasive,evasive-behavior,,,,,
Filetransfer,Transfers Files,able-to-transfer-file,,,,,
Malware,Used by Malware,used-by-malware,virus-ident,,,,
Misused,Prone to Misuse,Vulnerabilities,has-known-vulnerability,prone-to-misuse,,,
Audio_stream,audio-streaming,,,,,,
AV,,,,,,,
Business,business-systems,customer-service,erp-crm,general-business,hr,social-business,
Cloud,,,,,,,
Data,collaboration,data-privacy,data-ident,,,,
IPS,,,,,,,
Non_business,medical,,,,,,
Video_stream,,,,,,,
AAA,,,,,,,
Adult_content,,,,,,,
Advertising,,,,,,,
Analytics,,,,,,,
Anonymizer,,,,,,,
Audio_chat,,,,,,,
Basic,,,,,,,
Blog,,,,,,,
CDN,content-management,,,,,,
Chat,,,,,,,
Classified_Ads,,,,,,,
Cloud_services,SaaS,saas,,,,,
DB,database,,,,,,
DEA_Mail,,,,,,,
EBook_Reader,,,,,,,
Email,email,,,,,,
Enterprise,client-server,auth-service,,,,,
File_mngt,storage-backup,file-type-ident,,,,,
File_transfer,file-sharing,,,,,,
Forum,,,,,,,
Gaming,gamin,,,,,,
IM_MC,,,,,,,
IoT,,,,,,,
MM_streaming,,,,,,,
Mobile,,,,,,,
Networking,network-protocol,networking,Tunnels Other Apps,routing,ip-protocol,tunnel-other-application,tunnel-applications
News_portal,media,,,,,,
P2P,peer-to-peer,,,,,,
Remote_access,ics-protocols,remote-access,,,,,
SCADA,,,,,,,
Social_network,social-networking,,,,,,
Standardized,Widely Used,pervasive-use,,,,,
Transportation,,,,,,,
Update,software-update,,,,,,
Video_chat,internet-conferencing,,,,,,
VoIP,voip-video,,,,,,
VPN_tun,,,,,,,
Web,browser-based,general-internet,web-posting,,,,
Web_Ecom,,,,,,,
Web_search,,,,,,,
Web_sites,,,,,,,
Webmail,,,,,,,
