#Versa Subfamilies,PAN SubCategory,,,
antivirus,,,,
application-service,,,,
audio_video,audio-streaming,,,
authentication,auth-service,,,
behavioral,hr,management,,
compression,,,,
database,database,,,
encrypted,data-privacy,,,
encrypted-tunnel,encrypted-tunnel,,,
erp,erp-crm,internet-conferencing,photo-video,marketing
file-server,,,,
file-transfer,file-sharing,,,
forum,,,,
game,gaming,,,
instant-messaging,social-business,social-networking,,
internet-utility,remote-access,,,
mail,email,,,
microsoft-office,office-programs,,,
middleware,content-management,,,
network-management,customer-service,infrastructure,it-infrastructure,it-management
network-service,internet-utility,ip-protocol,proxy,
peer-to-peer,,,,
printer,,,,
routing,routing,,,
security-service,security,,,
standard,general-business,software-development,software-update,
telephony,voip-video,,,
terminal,,,,
thin-client,ics-protocols,,,
tunneling,,,,
unknown,artificial-intelligence,design,medical,storage-backup
wap,,,,
web,web-posting,,,
webmail,,,,
